scope,experiment,condition,n_items,n_query_more_likely_than_trigger,n_query_not_more_likely_than_trigger,proportion_query_more_likely_than_trigger,mean_response_query_more_likely_than_trigger,mean_response_query_not_more_likely_than_trigger,mean_response_difference_query_more_minus_not_more,mean_ordering_score,pearson_r,spearman_rho
overall,all,all,300,138,162,0.4600000000,0.6209852949,0.5511429928,0.0698423021,-0.2765248545,0.0942559461,0.0909803657
experiment,experiment_1,all,60,27,33,0.4500000000,0.3796296296,0.3931818182,-0.0135521886,-0.0874934982,0.0666342117,0.0420854044
experiment,experiment_2,all,120,64,56,0.5333333333,0.5889995421,0.3541993721,0.2348001701,0.1906554044,0.3535093311,0.3871345474
experiment,experiment_3,all,60,17,43,0.2833333333,0.6911764706,0.6813953488,0.0097811218,-1.5064399146,-0.0939440508,-0.0618816042
experiment,experiment_4,all,60,30,30,0.5000000000,0.8666666667,0.9058333333,-0.0391666667,-0.1700016685,-0.3317824380,-0.2896737741
condition,experiment_1,ESI,60,27,33,0.4500000000,0.3796296296,0.3931818182,-0.0135521886,-0.0874934982,0.0666342117,0.0420854044
condition,experiment_2,Eweak,60,8,52,0.1333333333,0.5022893773,0.3215694562,0.1807199211,-2.7774581936,-0.0693792372,-0.1107651453
condition,experiment_2,Estrong,60,56,4,0.9333333333,0.6013867085,0.7783882784,-0.1770015699,3.1587690024,0.0349260955,0.0430068726
condition,experiment_3,Eonly,60,17,43,0.2833333333,0.6911764706,0.6813953488,0.0097811218,-1.5064399146,-0.0939440508,-0.0618816042
condition,experiment_4,Eonlystrong,60,30,30,0.5000000000,0.8666666667,0.9058333333,-0.0391666667,-0.1700016685,-0.3317824380,-0.2896737741
