scope,experiment,condition,n_items,n_query_more_likely_than_trigger,n_query_not_more_likely_than_trigger,proportion_query_more_likely_than_trigger,mean_response_query_more_likely_than_trigger,mean_response_query_not_more_likely_than_trigger,mean_response_difference_query_more_minus_not_more,mean_ordering_score,pearson_r,spearman_rho
overall,all,all,300,143,157,0.4766666667,0.6738485873,0.5007693474,0.1730792399,-0.1450680702,0.2533854040,0.2719921877
experiment,experiment_1,all,60,22,38,0.3666666667,0.4693181818,0.3394736842,0.1298444976,-0.6211689779,0.1531143468,0.1639159700
experiment,experiment_2,all,120,60,60,0.5000000000,0.5997557998,0.3590964591,0.2406593407,0.0163211989,0.3684863937,0.4066058813
experiment,experiment_3,all,60,17,43,0.2833333333,0.6926470588,0.6808139535,0.0118331053,-1.6135908235,0.0455849313,0.0405868792
experiment,experiment_4,all,60,44,16,0.7333333333,0.8698863636,0.9312500000,-0.0613636364,1.4767770528,-0.2997336460,-0.2823796254
condition,experiment_1,ESI,60,22,38,0.3666666667,0.4693181818,0.3394736842,0.1298444976,-0.6211689779,0.1531143468,0.1639159700
condition,experiment_2,Eweak,60,6,54,0.1000000000,0.5167887668,0.3266517433,0.1901370235,-2.7667766807,-0.0448706599,-0.0951983925
condition,experiment_2,Estrong,60,54,6,0.9000000000,0.6089743590,0.6510989011,-0.0421245421,2.7994190784,0.0537815053,0.0868930725
condition,experiment_3,Eonly,60,17,43,0.2833333333,0.6926470588,0.6808139535,0.0118331053,-1.6135908235,0.0455849313,0.0405868792
condition,experiment_4,Eonlystrong,60,44,16,0.7333333333,0.8698863636,0.9312500000,-0.0613636364,1.4767770528,-0.2997336460,-0.2823796254
