Item,Condition,Percent
1,Eonly,62.5
1,Eonlystrong,82.5
1,ESI,82.5
1,Estrong,78.57142857
1,Eweak,71.79487179
1,Uniform1,40
1,Uniform2,80
2,Eonly,50
2,Eonlystrong,85
2,ESI,5
2,Estrong,51.28205128
2,Eweak,11.9047619
2,Uniform1,40
2,Uniform2,80
3,Eonly,62.5
3,Eonlystrong,97.5
3,ESI,20
3,Estrong,69.04761905
3,Eweak,15.38461538
3,Uniform1,40
3,Uniform2,80
4,Eonly,72.5
4,Eonlystrong,70
4,ESI,62.5
4,Estrong,61.53846154
4,Eweak,33.33333333
4,Uniform1,40
4,Uniform2,80
5,Eonly,57.5
5,Eonlystrong,92.5
5,ESI,5
5,Estrong,30.95238095
5,Eweak,12.82051282
5,Uniform1,40
5,Uniform2,80
6,Eonly,72.5
6,Eonlystrong,92.5
6,ESI,42.5
6,Estrong,48.71794872
6,Eweak,42.85714286
6,Uniform1,40
6,Uniform2,80
7,Eonly,65
7,Eonlystrong,92.5
7,ESI,37.5
7,Estrong,76.19047619
7,Eweak,25.64102564
7,Uniform1,40
7,Uniform2,80
8,Eonly,50
8,Eonlystrong,82.5
8,ESI,27.5
8,Estrong,61.53846154
8,Eweak,16.66666667
8,Uniform1,40
8,Uniform2,80
9,Eonly,95
9,Eonlystrong,95
9,ESI,70
9,Estrong,88.0952381
9,Eweak,69.23076923
9,,40
9,,80
10,Eonly,42.5
10,Eonlystrong,85
10,ESI,7.5
10,Estrong,33.33333333
10,Eweak,4.761904762
10,Uniform1,40
10,Uniform2,80
11,Eonly,55
11,Eonlystrong,85
11,ESI,22.5
11,Estrong,47.61904762
11,Eweak,25.64102564
11,Uniform1,40
11,Uniform2,80
12,Eonly,85
12,Eonlystrong,97.5
12,ESI,52.5
12,Estrong,94.87179487
12,Eweak,40.47619048
12,Uniform1,40
12,Uniform2,80
13,Eonly,87.5
13,Eonlystrong,100
13,ESI,67.5
13,Estrong,88.0952381
13,Eweak,61.53846154
13,Uniform1,40
13,Uniform2,80
14,Eonly,47.5
14,Eonlystrong,87.5
14,ESI,5
14,Estrong,35.8974359
14,Eweak,11.9047619
14,Uniform1,40
14,Uniform2,80
15,Eonly,85
15,Eonlystrong,100
15,ESI,30
15,Estrong,71.42857143
15,Eweak,25.64102564
15,Uniform1,40
15,Uniform2,80
16,Eonly,62.5
16,Eonlystrong,87.5
16,ESI,5
16,Estrong,48.71794872
16,Eweak,9.523809524
16,Uniform1,40
16,Uniform2,80
17,Eonly,80
17,Eonlystrong,82.5
17,ESI,57.5
17,Estrong,76.19047619
17,Eweak,61.53846154
17,Uniform1,40
17,Uniform2,80
18,Eonly,75
18,Eonlystrong,87.5
18,ESI,20
18,Estrong,61.53846154
18,Eweak,16.66666667
18,Uniform1,40
18,Uniform2,80
19,Eonly,87.5
19,Eonlystrong,90
19,ESI,50
19,Estrong,57.14285714
19,Eweak,30.76923077
19,Uniform1,40
19,Uniform2,80
20,Eonly,50
20,Eonlystrong,87.5
20,ESI,20
20,Estrong,43.58974359
20,Eweak,26.19047619
20,Uniform1,40
20,Uniform2,80
21,Eonly,42.5
21,Eonlystrong,80
21,ESI,5
21,Estrong,33.33333333
21,Eweak,10.25641026
21,Uniform1,40
21,Uniform2,80
22,Eonly,60
22,Eonlystrong,92.5
22,ESI,17.5
22,Estrong,46.15384615
22,Eweak,11.9047619
22,Uniform1,40
22,Uniform2,80
23,Eonly,80
23,Eonlystrong,87.5
23,ESI,70
23,Estrong,71.42857143
23,Eweak,61.53846154
23,Uniform1,40
23,Uniform2,80
24,Eonly,32.5
24,Eonlystrong,92.5
24,ESI,10
24,Estrong,61.53846154
24,Eweak,14.28571429
24,Uniform1,40
24,Uniform2,80
25,Eonly,85
25,Eonlystrong,95
25,ESI,87.5
25,Estrong,83.33333333
25,Eweak,69.23076923
25,Uniform1,40
25,Uniform2,80
26,Eonly,95
26,Eonlystrong,92.5
26,ESI,87.5
26,Estrong,97.43589744
26,Eweak,78.57142857
26,Uniform1,40
26,Uniform2,80
27,Eonly,47.5
27,Eonlystrong,87.5
27,ESI,32.5
27,Estrong,35.71428571
27,Eweak,12.82051282
27,Uniform1,40
27,Uniform2,80
28,Eonly,87.5
28,Eonlystrong,97.5
28,ESI,70
28,Estrong,94.87179487
28,Eweak,71.42857143
28,Uniform1,40
28,Uniform2,80
29,Eonly,47.5
29,Eonlystrong,67.5
29,ESI,25
29,Estrong,47.61904762
29,Eweak,20.51282051
